종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"256450","ARIRANG 심천차이넥스트(합성)","11790","290","2.52","11603.64","11945","11945","11460","6870","80124430","7074000000","6962182341","600000","SZSE ChiNext Price Index","2900.54","87.54","3.11"
"239660","ARIRANG 우량회사채50 1년","108355","30","0.03","108369.21","108355","108365","108350","455","49301925","13002600000","13004305774","120000","KOBI HALF CREDIT Index(총수익)","11014.59","2.47","0.02"
"280920","ARIRANG 주도업종","11115","280","2.58","11093.99","10845","11115","10820","41904","459699365","8892000000","8875195372","800000","FnGuide 주도업종 지수","1648.46","31.70","1.96"
"266550","ARIRANG 중형주저변동50","10470","205","2.00","10458.93","10345","10470","10340","2093","21775255","8376000000","8367147239","800000","FnGuide 중형주저변동50지수","2004.27","27.39","1.39"
"301400","ARIRANG 코스닥150","15340","55","0.36","15426.49","15340","15415","15165","5432","82832410","6136000000","6170596288","400000","코스닥 150","1532.52","1.47","0.10"
"301410","ARIRANG 코스닥150선물인버스","6885","-5","-0.07","6884.72","6900","6945","6835","20374","140483580","4819500000","4475069893","700000","F-코스닥150 지수","1670.71","3.29","0.20"
"227830","ARIRANG 코스피","29370","540","1.87","29510.21","28825","29545","28750","25606","745787165","27901500000","28034698292","950000","코스피","2873.47","52.96","1.88"
"122090","ARIRANG 코스피50","27840","710","2.62","27833.44","27165","27855","27105","1494","41134355","18374400000","18370070039","660000","코스피 50","2725.20","56.05","2.10"
"328370","ARIRANG 코스피TR","14380","335","2.39","14364.33","14060","14380","14060","374056","5275764430","125106000000","124969642819","8700000","코스피 TR","3385.80","62.40","1.88"
"301440","ARIRANG 코스피중형주","11080","190","1.74","11065.04","10910","11080","10910","118","1302250","6094000000","6085769441","550000","코스피 중형주","2953.99","45.90","1.58"
"285690","FOCUS ESG리더스","9810","115","1.19","9835.50","9710","9815","9705","25","243700","19129500000","19179219296","1950000","KRX ESG Leaders 150","1558.98","19.95","1.30"
"292730","FOCUS KRX300","18500","400","2.21","18504.60","18120","18510","18120","72","1306990","20350000000","20355063062","1100000","KRX 300","1794.81","33.73","1.92"
"293180","HANARO 200","39545","850","2.20","39574.07","38530","39590","38450","262670","10341821640","632720000000","633185081299","16000000","코스피 200","389.29","8.02","2.10"
"332930","HANARO 200TR","46245","1115","2.47","46183.41","44810","46245","44810","7402","337387440","159545250000","159332764134","3450000","코스피 200 TR","460.54","9.49","2.10"
"304780","HANARO 200선물레버리지","25700","1150","4.68","25653.86","24310","25755","24300","3928","98459980","47545000000","47459648334","1850000","코스피 200 선물지수","1945.71","41.00","2.15"
"306520","HANARO 200선물인버스","9770","-225","-2.25","9787.41","10030","10045","9755","18775","186041715","27356000000","27404744651","2800000","코스피 200 선물지수","1945.71","41.00","2.15"
"368190","HANARO Fn K-뉴딜디지털플러스","12185","170","1.41","12224.92","12015","12185","11950","2529709","30627034655","176682500000","177261312509","14500000","FnGuide K-뉴딜 디지털 플러스 지수","2916.77","38.76","1.35"
"367740","HANARO Fn5G산업","11860","115","0.98","11890.85","11745","11865","11720","167975","1980008585","15418000000","15458100478","1300000","FnGuide 5G 산업 지수","2014.57","19.85","1.00"
"346000","HANARO KAP초장기국고채","48800","-110","-0.22","48758.49","48815","48815","48670","1930","93952270","9272000000","9264112434","190000","KAP 초장기 국고채 지수(총수익)","14677.43","-51.96","-0.35"
"304760","HANARO KRX300","18185","305","1.71","18220.18","17685","18185","17685","6077","108906860","16366500000","16398164475","900000","KRX 300","1794.81","33.73","1.92"
"332940","HANARO MSCI Korea TR","16100","340","2.16","16072.15","15710","16100","15680","1103","17637725","410550000000","409839796467","25500000","MSCI Korea TR Index","1603.70","31.41","2.00"
"322400","HANARO e커머스","14705","145","1.00","14777.54","14610","14735","14585","373603","5485737840","45585500000","45810380244","3100000","FnGuide E커머스 지수","2506.65","36.59","1.48"
"322410","HANARO 고배당","8925","-10","-0.11","8924.93","9000","9000","8840","79","702500","19635000000","19634840831","2200000","FnGuide 고배당 알파 지수","1302.12","-1.56","-0.12"
"354350","HANARO 글로벌럭셔리S&P(합성)","14830","10","0.07","14747.22","14825","14850","14725","8560","126530845","8156500000","8110972766","550000","S&P Global Luxury Index","4044.66","34.41","0.86"
"314700","HANARO 농업융복합산업","11270","150","1.35","11284.81","11185","11270","11125","2023","22677155","6198500000","6206646462","550000","FnGuide 농업융복합산업 지수(시장가격)","1351.68","15.83","1.19"
"306540","HANARO 단기통안채","102875","15","0.01","102875.90","102865","102875","102865","221","22733365","377345500000","452962599920","3668000","KAP 단기 통안채 지수(총수익)","12660.56","0.20","0.00"
"304770","HANARO 코스닥150","15325","-45","-0.29","15449.74","15260","15440","15165","104661","1605512335","37699500000","38006362039","2460000","코스닥 150","1532.52","1.47","0.10"
"306530","HANARO 코스닥150선물레버리지","14950","50","0.34","14906.72","14900","15110","14660","7484","111986840","7176000000","5664554068","480000","F-코스닥150 지수","1670.71","3.29","0.20"
"148020","KBSTAR 200","39580","870","2.25","39611.57","38555","39635","38475","396397","15518030280","1185421000000","1186366560246","29950000","코스피 200","389.29","8.02","2.10"
"285000","KBSTAR 200IT","15945","400","2.57","15944.81","15680","15945","15375","3367","53099410","15307200000","15307013390","960000","코스피 200 정보기술","3556.86","89.68","2.59"
"361580","KBSTAR 200TR","19375","-30","-0.15","19853.61","19365","19375","19365","61","1181765","25187500000","25809690520","1300000","코스피 200 TR","460.54","9.49","2.10"
"287300","KBSTAR 200건설","9765","195","2.04","9795.68","9570","9800","9570","5333","52006820","4882500000","4897841251","500000","코스피 200 건설","239.93","5.16","2.20"
"287310","KBSTAR 200경기소비재","10310","120","1.18","10306.27","10190","10310","10190","348","3577160","5361200000","5359260870","520000","코스피 200 경기소비재","1651.06","17.58","1.08"
"290080","KBSTAR 200고배당커버드콜ATM","7215","-100","-1.37","7201.93","7305","7305","7215","36","261120","5050500000","5041353330","700000","코스피 200 고배당커버드콜 ATM 지수(시장가격지수)","985.71","-15.28","-1.53"
"284980","KBSTAR 200금융","7840","10","0.13","7868.66","7810","7840","7720","928","7213855","3920000000","3934330728","500000","코스피 200 금융","600.92","1.71","0.29"
"287320","KBSTAR 200산업재","9475","155","1.66","9471.85","9320","9475","9320","20","187305","4737500000","4735922788","500000","코스피 200 산업재","517.48","7.21","1.41"
